hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,total_stay_nights,adults,children,babies,total_guests,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,1,31,2016,February,1,25,2,2,4,2,0,0,2,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,119,22,0,Transient-Party,70.25,0,0,Canceled,2016-06-15
Resort Hotel,0,178,2016,March,41,5,1,2,3,2,0,0,2,HB,IRL,Groups,TA/TO,0,0,0,A,A,0,No Deposit,68,22,0,Transient,98.32,0,1,Check-Out,2016-06-15
Resort Hotel,1,8,2016,August,38,27,0,5,5,2,0,0,2,BB,NLD,Corporate,TA/TO,0,0,0,A,A,0,No Deposit,109,22,0,Transient,111.07,0,1,Canceled,2016-06-15
City Hotel,1,148,2016,June,18,15,2,7,9,1,0,0,1,BB,NLD,Corporate,TA/TO,0,0,0,A,A,1,No Deposit,218,22,0,Group,18.55,0,1,Canceled,2016-06-15
City Hotel,1,10,2016,April,1,15,1,3,4,2,0,0,2,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,385,22,0,Transient,141.76,0,0,Canceled,2016-06-15
City Hotel,0,213,2016,June,39,12,2,2,4,1,0,0,1,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,343,22,0,Transient,76.92,0,0,Check-Out,2016-06-15
Resort Hotel,1,36,2015,June,10,9,0,1,1,2,0,0,2,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,449,0,0,Transient,82.53,1,0,Canceled,2016-06-15
City Hotel,0,106,2015,November,31,13,2,1,3,2,1,0,3,BB,BEL,Direct,GDS,0,0,0,A,A,0,Non Refund,314,22,0,Transient,113.69,0,0,Check-Out,2016-06-15
City Hotel,1,66,2016,February,38,16,0,1,1,2,0,0,2,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,455,0,0,Transient,0.0,1,1,Canceled,2016-06-15
Resort Hotel,0,45,2015,April,7,21,0,1,1,3,0,0,3,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,434,22,0,Transient-Party,137.14,0,0,Check-Out,2016-06-15
City Hotel,0,103,2017,July,38,2,0,6,6,2,0,0,2,SC,NLD,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,267,0,0,Transient,98.73,0,0,Check-Out,2016-06-15
Resort Hotel,1,294,2015,August,8,17,0,3,3,2,0,0,2,BB,PRT,Online TA,Corporate,0,0,0,B,B,0,No Deposit,307,0,0,Transient-Party,159.47,0,1,Canceled,2016-06-15
Resort Hotel,1,4,2017,August,34,9,2,1,3,1,0,0,1,HB,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,23,0,0,Transient-Party,90.16,0,0,Canceled,2016-06-15
City Hotel,1,251,2016,November,9,26,0,2,2,2,0,0,2,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,386,0,0,Transient,32.99,0,0,Canceled,2016-06-15
City Hotel,0,93,2015,September,25,23,1,1,2,2,1,0,3,HB,PRT,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,469,22,0,Contract,55.05,0,0,Check-Out,2016-06-15
City Hotel,0,164,2017,July,27,19,2,3,5,2,1,0,3,HB,PRT,Direct,TA/TO,0,0,0,A,F,0,No Deposit,332,0,0,Transient,98.21,0,0,Check-Out,2016-06-15
Resort Hotel,1,48,2016,April,41,28,1,2,3,2,1,0,3,BB,FRA,Offline TA/TO,Direct,0,0,0,A,A,0,No Deposit,48,22,0,Transient,63.86,0,0,Canceled,2016-06-15
Resort Hotel,0,63,2016,June,7,6,0,1,1,2,0,0,2,BB,PRT,Offline TA/TO,TA/TO,1,0,0,A,A,1,No Deposit,98,22,0,Transient,39.0,0,0,Check-Out,2016-06-15
City Hotel,1,203,2017,August,32,26,2,1,3,1,0,0,1,SC,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,49,0,0,Transient,107.24,0,1,Canceled,2016-06-15
City Hotel,1,53,2015,October,9,4,1,3,4,2,0,0,2,BB,FRA,Offline TA/TO,Direct,0,0,0,A,A,0,No Deposit,363,22,0,Transient,83.25,1,0,Canceled,2016-06-15
Resort Hotel,1,76,2016,November,17,25,0,2,2,2,0,0,2,BB,ESP,Online TA,TA/TO,0,0,0,A,B,0,Non Refund,267,22,0,Transient,79.96,0,2,Canceled,2016-06-15
City Hotel,1,2,2017,July,35,15,0,2,2,2,0,0,2,BB,GBR,Direct,TA/TO,0,0,0,A,A,0,No Deposit,71,0,0,Contract,62.46,0,1,Canceled,2016-06-15
Resort Hotel,0,17,2017,July,48,18,1,4,5,3,0,0,3,BB,PRT,Offline TA/TO,Direct,0,0,0,A,A,2,No Deposit,424,0,0,Transient,121.57,0,0,Check-Out,2016-06-15
City Hotel,1,102,2016,January,16,27,1,3,4,1,0,0,1,Undefined,GBR,Groups,TA/TO,0,0,0,D,D,0,No Deposit,353,0,0,Transient,75.8,0,1,Canceled,2016-06-15
Resort Hotel,1,126,2015,February,2,12,1,2,3,2,0,0,2,BB,FRA,Direct,TA/TO,0,0,0,F,B,0,No Deposit,413,0,0,Transient-Party,53.55,0,1,Canceled,2016-06-15
City Hotel,1,87,2017,March,43,12,0,6,6,2,0,0,2,BB,GBR,Online TA,TA/TO,0,0,0,D,D,1,Non Refund,410,22,0,Transient,110.3,0,2,Canceled,2016-06-15
Resort Hotel,0,15,2016,January,31,20,1,1,2,2,0,0,2,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,167,0,0,Transient,80.64,0,0,Check-Out,2016-06-15
City Hotel,0,58,2015,June,16,17,0,2,2,1,0,0,1,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,493,0,0,Transient,78.3,0,2,Check-Out,2016-06-15
City Hotel,0,43,2016,May,47,7,0,5,5,2,0,0,2,HB,BEL,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,245,0,0,Transient,100.69,0,1,Check-Out,2016-06-15
Resort Hotel,1,68,2017,August,33,20,2,5,7,1,0,0,1,BB,NLD,Direct,Direct,0,1,0,D,D,0,No Deposit,482,22,0,Transient,122.18,0,0,Canceled,2016-06-15
City Hotel,0,204,2015,July,21,5,0,1,1,2,0,0,2,SC,GBR,Direct,TA/TO,0,0,0,A,A,1,No Deposit,389,0,5,Transient,71.61,0,0,Check-Out,2016-06-15
City Hotel,1,149,2017,July,17,12,0,5,5,2,0,0,2,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,Non Refund,104,0,5,Transient,102.55,0,0,Canceled,2016-06-15
City Hotel,0,8,2016,June,35,17,2,1,3,2,0,0,2,BB,NLD,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,433,22,0,Transient-Party,116.92,0,1,Check-Out,2016-06-15
City Hotel,0,221,2016,April,51,2,0,4,4,2,0,0,2,BB,PRT,Online TA,Direct,0,0,0,A,A,0,No Deposit,22,22,0,Transient,144.32,0,0,Check-Out,2016-06-15
City Hotel,0,63,2017,November,52,28,1,2,3,2,0,0,2,BB,FRA,Offline TA/TO,TA/TO,0,2,0,A,B,0,No Deposit,111,0,0,Contract,101.13,0,0,Check-Out,2016-06-15
City Hotel,1,136,2017,February,7,4,2,1,3,2,0,0,2,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,474,22,0,Transient,73.94,0,0,Canceled,2016-06-15
Resort Hotel,0,15,2016,November,29,2,0,2,2,2,0,0,2,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,471,0,0,Transient,78.02,0,1,Check-Out,2016-06-15
Resort Hotel,1,111,2015,May,11,14,2,5,7,3,0,0,3,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,323,0,0,Transient,170.1,0,1,Canceled,2016-06-15
Resort Hotel,0,26,2017,July,30,14,2,4,6,1,0,0,1,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,194,22,0,Transient-Party,126.09,0,0,Check-Out,2016-06-15
Resort Hotel,0,57,2016,February,18,13,1,6,7,2,0,0,2,BB,NLD,Online TA,Corporate,0,0,0,C,C,0,No Deposit,310,0,0,Transient,106.11,0,0,Check-Out,2016-06-15
City Hotel,1,1,2016,February,46,17,0,2,2,2,0,0,2,HB,FRA,Online TA,TA/TO,0,0,0,B,B,1,No Deposit,91,22,0,Transient,100.08,0,1,Canceled,2016-06-15
Resort Hotel,0,16,2016,June,16,26,3,2,5,2,0,0,2,SC,NLD,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,484,0,0,Transient-Party,61.69,0,0,Check-Out,2016-06-15
City Hotel,0,9,2017,September,6,17,1,1,2,2,0,0,2,BB,PRT,Online TA,TA/TO,0,0,0,A,A,3,No Deposit,384,0,0,Transient,101.0,1,0,Check-Out,2016-06-15
City Hotel,0,27,2017,April,2,22,1,1,2,2,0,0,2,BB,PRT,Offline TA/TO,TA/TO,0,0,0,G,G,0,No Deposit,154,22,0,Transient,95.33,0,2,Check-Out,2016-06-15
Resort Hotel,0,10,2017,July,43,18,2,2,4,2,0,0,2,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,75,22,0,Transient,79.34,0,3,Check-Out,2016-06-15
City Hotel,0,117,2016,April,43,3,1,4,5,2,0,0,2,HB,FRA,Online TA,Direct,0,0,0,A,F,0,No Deposit,485,0,0,Transient,77.69,0,0,Check-Out,2016-06-15
Resort Hotel,0,2,2016,May,10,21,1,4,5,1,0,0,1,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,276,22,0,Transient,128.06,0,0,Check-Out,2016-06-15
City Hotel,0,96,2016,October,4,16,2,2,4,2,0,0,2,HB,DEU,Groups,TA/TO,0,0,0,A,A,0,No Deposit,498,0,0,Transient-Party,74.64,0,0,Check-Out,2016-06-15
Resort Hotel,0,15,2016,October,49,19,0,3,3,2,0,0,2,BB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,355,22,0,Transient,18.36,0,1,Check-Out,2016-06-15
City Hotel,0,290,2016,July,10,6,2,4,6,2,0,0,2,BB,GBR,Direct,Direct,0,0,0,A,A,0,No Deposit,207,0,0,Transient,107.45,0,0,Check-Out,2016-06-15
City Hotel,0,270,2016,April,9,23,0,2,2,2,0,0,2,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,229,0,0,Transient,80.74,0,0,Check-Out,2016-06-15
Resort Hotel,1,25,2015,March,45,26,2,3,5,2,0,0,2,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,3,0,0,Transient-Party,114.48,0,2,Canceled,2016-06-15
Resort Hotel,0,95,2016,November,43,6,1,2,3,1,0,0,1,BB,FRA,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,239,22,0,Transient-Party,76.61,0,2,Check-Out,2016-06-15
City Hotel,0,2,2016,March,42,18,0,7,7,1,0,0,1,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,354,22,0,Transient,74.92,0,2,Check-Out,2016-06-15
City Hotel,1,268,2017,September,24,9,0,1,1,1,0,1,2,BB,NLD,Online TA,TA/TO,1,2,0,E,E,0,No Deposit,393,0,0,Transient,103.55,0,0,Canceled,2016-06-15
City Hotel,0,74,2016,May,5,18,1,2,3,2,0,0,2,BB,PRT,Online TA,Direct,0,0,0,A,A,1,No Deposit,423,0,0,Transient,113.48,0,0,Check-Out,2016-06-15
City Hotel,1,4,2015,December,35,6,2,2,4,2,0,0,2,BB,BRA,Direct,Direct,0,0,0,B,B,0,No Deposit,176,0,0,Transient-Party,118.99,0,1,Canceled,2016-06-15
Resort Hotel,0,41,2016,May,4,9,1,4,5,2,0,0,2,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,248,0,0,Transient,85.4,0,0,Check-Out,2016-06-15
City Hotel,0,7,2017,May,35,25,2,2,4,1,0,0,1,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,G,0,Refundable,200,0,0,Transient,95.17,0,2,Check-Out,2016-06-15
Resort Hotel,1,49,2016,August,42,18,0,2,2,1,0,0,1,HB,NLD,Online TA,Corporate,0,0,0,A,A,1,No Deposit,281,22,0,Transient,172.37,0,0,Canceled,2016-06-15
City Hotel,0,110,2016,December,13,25,2,3,5,1,0,0,1,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,282,22,0,Transient,97.82,0,1,Check-Out,2016-06-15
City Hotel,0,63,2016,December,37,16,0,2,2,2,0,0,2,HB,DEU,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,437,0,0,Transient,149.75,0,0,Check-Out,2016-06-15
Resort Hotel,0,48,2016,August,32,24,0,2,2,2,0,0,2,BB,NLD,Direct,TA/TO,0,0,0,F,F,0,No Deposit,236,0,0,Transient,82.77,0,0,Check-Out,2016-06-15
Resort Hotel,0,12,2017,September,45,23,0,1,1,2,0,0,2,BB,FRA,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,51,22,0,Contract,123.27,0,1,Check-Out,2016-06-15
Resort Hotel,0,28,2015,July,1,13,2,1,3,1,0,0,1,BB,FRA,Groups,TA/TO,0,0,1,D,D,1,No Deposit,40,22,0,Transient,149.52,0,0,Check-Out,2016-06-15
Resort Hotel,0,10,2016,September,11,11,1,6,7,2,0,0,2,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,479,22,0,Transient-Party,150.93,0,1,Check-Out,2016-06-15
City Hotel,1,164,2016,October,26,8,0,3,3,2,0,0,2,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,237,0,0,Transient,36.83,0,0,Canceled,2016-06-15
City Hotel,0,14,2015,June,3,26,1,4,5,2,0,0,2,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,443,22,0,Transient,164.92,0,0,Check-Out,2016-06-15
City Hotel,0,90,2016,July,49,24,1,2,3,2,0,0,2,SC,NLD,Online TA,Direct,0,0,0,A,A,0,No Deposit,113,22,0,Transient,85.24,0,1,Check-Out,2016-06-15
City Hotel,0,41,2016,July,51,17,2,2,4,3,0,0,3,SC,PRT,Online TA,TA/TO,0,0,0,D,D,0,Refundable,388,22,0,Transient-Party,84.49,0,0,Check-Out,2016-06-15
Resort Hotel,0,25,2017,July,13,9,1,2,3,2,0,0,2,BB,PRT,Online TA,Corporate,0,0,0,A,A,1,No Deposit,306,0,0,Transient-Party,85.93,0,0,Check-Out,2016-06-15
City Hotel,0,102,2017,October,32,6,1,1,2,1,1,0,2,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,114,0,0,Transient,175.7,0,1,Check-Out,2016-06-15
City Hotel,1,61,2017,May,48,1,3,4,7,1,0,0,1,BB,PRT,Online TA,Direct,1,0,0,F,F,0,No Deposit,193,22,0,Transient,94.28,0,1,Canceled,2016-06-15
City Hotel,0,51,2016,March,50,1,3,3,6,2,0,0,2,SC,PRT,Online TA,TA/TO,0,0,1,D,D,1,No Deposit,218,0,0,Transient,96.75,0,0,Check-Out,2016-06-15
City Hotel,0,89,2016,June,23,13,0,2,2,2,0,0,2,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,336,22,0,Transient-Party,104.11,0,1,Check-Out,2016-06-15
City Hotel,0,67,2016,March,52,7,2,5,7,1,0,0,1,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,Refundable,244,22,0,Transient,107.39,0,0,Check-Out,2016-06-15
City Hotel,1,36,2016,June,23,10,0,2,2,2,1,0,3,HB,NLD,Online TA,TA/TO,1,0,0,A,A,0,No Deposit,320,22,0,Transient,122.9,0,1,Canceled,2016-06-15
City Hotel,0,81,2016,October,51,18,1,6,7,2,0,0,2,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,143,22,0,Transient,75.73,0,0,Check-Out,2016-06-15
Resort Hotel,0,110,2017,July,30,6,1,1,2,1,0,0,1,HB,PRT,Direct,TA/TO,0,1,0,A,A,0,No Deposit,388,22,0,Transient,113.03,1,0,Check-Out,2016-06-15
Resort Hotel,0,2,2015,October,6,13,0,7,7,1,0,0,1,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,287,0,0,Transient,60.28,0,0,Check-Out,2016-06-15
Resort Hotel,1,62,2017,March,7,5,4,4,8,1,0,0,1,HB,PRT,Direct,TA/TO,1,0,0,A,A,0,No Deposit,98,0,0,Transient,68.77,0,3,Canceled,2016-06-15
City Hotel,0,5,2015,October,47,21,0,2,2,1,0,0,1,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,429,22,0,Contract,107.5,0,0,Check-Out,2016-06-15
Resort Hotel,1,20,2016,July,30,26,1,3,4,2,0,0,2,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,34,22,0,Transient-Party,125.59,0,1,Canceled,2016-06-15
City Hotel,0,82,2016,January,37,15,2,5,7,2,0,0,2,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,188,0,0,Transient,169.79,0,0,Check-Out,2016-06-15
City Hotel,0,201,2016,August,48,12,0,2,2,2,1,0,3,BB,GBR,Online TA,Direct,0,0,0,E,E,0,No Deposit,265,0,0,Transient,65.79,0,0,Check-Out,2016-06-15
Resort Hotel,0,214,2015,November,32,22,0,1,1,2,0,0,2,BB,PRT,Online TA,TA/TO,0,1,0,A,A,1,No Deposit,150,0,0,Transient,139.83,0,3,Check-Out,2016-06-15
City Hotel,0,7,2017,February,6,11,0,5,5,2,0,0,2,BB,NLD,Online TA,TA/TO,0,0,3,A,A,0,No Deposit,442,0,0,Transient,59.56,1,0,Check-Out,2016-06-15
City Hotel,0,54,2017,July,35,8,2,2,4,2,1,0,3,SC,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,13,0,0,Transient,63.02,0,0,Check-Out,2016-06-15
Resort Hotel,0,87,2016,November,32,5,2,2,4,2,0,0,2,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,282,0,0,Transient,100.01,0,0,Check-Out,2016-06-15
Resort Hotel,0,15,2016,January,12,8,0,1,1,2,0,0,2,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,123,22,0,Transient,141.23,0,0,Check-Out,2016-06-15
Resort Hotel,0,145,2017,August,4,5,0,1,1,2,0,0,2,SC,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,151,22,0,Transient,105.87,0,0,Check-Out,2016-06-15
Resort Hotel,0,136,2017,June,32,10,1,4,5,2,0,0,2,HB,GBR,Online TA,Direct,0,0,0,D,D,0,No Deposit,407,0,0,Transient,113.77,0,0,Check-Out,2016-06-15
City Hotel,1,233,2016,May,35,15,1,2,3,2,0,0,2,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,22,0,Transient,131.66,0,0,Canceled,2016-06-15
City Hotel,1,0,2017,August,48,6,1,7,8,1,0,0,1,SC,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,48,22,0,Transient,109.53,1,0,Canceled,2016-06-15
City Hotel,0,24,2016,January,16,24,1,3,4,1,0,0,1,BB,GBR,Direct,Direct,0,0,0,D,D,0,No Deposit,166,22,30,Transient,144.51,0,0,Check-Out,2016-06-15
City Hotel,1,175,2016,September,51,18,0,6,6,2,0,0,2,BB,NLD,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,346,22,0,Transient,113.68,0,0,Canceled,2016-06-15
City Hotel,0,111,2016,January,15,23,1,2,3,2,0,0,2,FB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,468,22,0,Transient,191.0,0,1,Check-Out,2016-06-15
Resort Hotel,0,224,2016,May,41,3,0,1,1,2,0,0,2,Undefined,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,326,0,0,Transient,100.76,0,1,Check-Out,2016-06-15
City Hotel,1,5,2015,July,52,9,0,2,2,1,0,0,1,BB,NLD,Online TA,TA/TO,0,0,0,G,G,2,No Deposit,154,0,0,Transient-Party,121.61,0,1,Canceled,2016-06-15
City Hotel,0,90,2016,May,2,10,0,2,2,2,0,0,2,BB,NLD,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,10,22,0,Transient,89.17,0,1,Check-Out,2016-06-15
City Hotel,0,84,2016,May,6,7,1,3,4,2,0,0,2,BB,NLD,Offline TA/TO,Direct,0,0,0,A,A,0,No Deposit,89,0,0,Transient,61.95,0,3,Check-Out,2016-06-15
City Hotel,1,3,2017,October,14,19,0,3,3,2,0,0,2,SC,PRT,Corporate,GDS,0,0,0,A,A,3,No Deposit,411,22,0,Transient,31.41,0,0,Canceled,2016-06-15
Resort Hotel,1,72,2017,November,41,24,1,2,3,2,0,0,2,HB,NLD,Online TA,TA/TO,0,2,0,A,A,0,No Deposit,137,22,0,Transient,17.62,0,0,Canceled,2016-06-15
Resort Hotel,0,94,2016,October,29,26,1,1,2,2,0,0,2,BB,BEL,Direct,TA/TO,0,0,0,A,A,0,No Deposit,168,0,0,Transient-Party,96.03,0,0,Check-Out,2016-06-15
Resort Hotel,0,21,2016,July,42,2,2,1,3,2,0,0,2,SC,NLD,Direct,TA/TO,0,0,0,A,A,0,No Deposit,468,22,0,Transient,167.25,0,0,Check-Out,2016-06-15
City Hotel,1,31,2015,October,26,26,1,1,2,1,0,0,1,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,175,22,0,Transient,134.58,0,0,Canceled,2016-06-15
City Hotel,0,102,2016,November,18,28,0,3,3,2,0,0,2,BB,GBR,Groups,TA/TO,0,0,0,A,A,1,Non Refund,157,22,0,Transient,115.11,0,0,Check-Out,2016-06-15
City Hotel,0,63,2015,June,47,8,3,1,4,2,0,0,2,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,337,0,0,Transient,88.66,0,0,Check-Out,2016-06-15
Resort Hotel,0,195,2016,April,4,7,0,5,5,2,0,0,2,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,383,22,0,Transient,144.62,0,0,Check-Out,2016-06-15
City Hotel,1,41,2016,February,37,28,0,3,3,2,0,0,2,FB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,472,0,0,Transient,130.08,0,0,Canceled,2016-06-15
City Hotel,0,31,2016,June,38,5,2,5,7,1,0,0,1,BB,NLD,Online TA,Direct,0,0,0,E,E,0,No Deposit,464,22,0,Group,48.63,0,1,Check-Out,2016-06-15
Resort Hotel,0,419,2015,November,25,4,1,2,3,2,1,0,3,BB,NLD,Offline TA/TO,TA/TO,0,2,0,A,A,1,No Deposit,102,0,0,Transient,133.52,0,0,Check-Out,2016-06-15
Resort Hotel,0,242,2017,July,47,11,1,7,8,2,0,0,2,BB,PRT,Direct,TA/TO,0,0,0,D,D,0,No Deposit,408,0,0,Transient,79.83,0,2,Check-Out,2016-06-15
